C:\Temp\IDIV_Bericht.csv:

Art;Unterart;Wert;Datum
Metric1_For;Gesell1;12731,4;2022-9-1
Metric1_Act;Gesell1;12773,4;2021-9-1
Metric2_Bud;Gesell1;1323,4;2022-9-1
Metric2_For;Gesell1;12723,4;2022-9-1
Metric2_Act;Gesell1;12323,4;2021-9-1
Metric1_Bud;Gesell2;12732,4;2022-9-1
Metric1_For;Gesell2;17223,4;2022-9-1
Metric1_Act;Gesell2;1623,4;2021-9-1
Metric2_Bud;Gesell2;123223,4;2022-9-1
Metric2_For;Gesell2;12323,4;2022-9-1
Metric2_Act;Gesell2;1323,4;2021-9-1
Metric1_Bud;Gesell1;1273,4;2022-10-1
Metric1_For;Gesell1;12731,4;2022-10-1
Metric1_Act;Gesell1;12773,4;2021-10-1
Metric2_Bud;Gesell1;1323,4;2022-10-1
Metric2_For;Gesell1;12723,4;2022-10-1
Metric2_Act;Gesell1;12323,4;2021-10-1
Metric1_Bud;Gesell2;12732,4;2022-10-1
Metric1_For;Gesell2;17223,4;2022-10-1
Metric1_Act;Gesell2;1623,4;2021-10-1
Metric2_Bud;Gesell2;123223,4;2022-10-1
Metric2_For;Gesell2;12323,4;2022-10-1
Metric2_Act;Gesell2;1323,4;2021-10-1
Metric1_Bud;Gesell1;1273,4;2022-11-1
Metric1_For;Gesell1;12731,4;2022-11-1
Metric1_Act;Gesell1;124773,4;2021-11-1
Metric2_Bud;Gesell1;1323,4;2022-11-1
Metric2_For;Gesell1;12723,4;2022-11-1
Metric2_Act;Gesell1;172323,4;2021-11-1
Metric1_Bud;Gesell2;12732,4;2022-11-1
Metric1_For;Gesell2;17223,4;2022-11-1
Metric1_Act;Gesell2;16236,4;2021-11-1
Metric2_Bud;Gesell2;1232923,4;2022-11-1
Metric2_For;Gesell2;12323,4;2022-11-1
Metric2_Act;Gesell2;1323,4;2021-11-1
Metric1_Bud;Gesell1;1273,4;2022-12-1
Metric1_For;Gesell1;12731,4;2022-12-1
Metric1_Act;Gesell1;124773,4;2021-12-1
Metric2_Bud;Gesell1;1323,4;2022-12-1
Metric2_For;Gesell1;12723,4;2022-12-1
Metric2_Act;Gesell1;172323,4;2021-12-1
Metric1_Bud;Gesell2;12732,4;2022-12-1
Metric1_For;Gesell2;17223,4;2022-12-1
Metric1_Act;Gesell2;16236,4;2021-12-1
Metric2_Bud;Gesell2;1232923,4;2022-12-1
Metric2_For;Gesell2;12323,4;2022-12-1
Metric2_Act;Gesell2;1323,4;2021-12-1

shared IDIV_Bericht = let
    Quelle = Csv.Document(File.Contents("C:\Temp\IDIV_Bericht.csv"),[Delimiter=";", Columns=4, Encoding=1252, QuoteStyle=QuoteStyle.None]),
    #"Höher gestufte Header" = Table.PromoteHeaders(Quelle, [PromoteAllScalars=true]),
    #"Geänderter Typ" = Table.TransformColumnTypes(#"Höher gestufte Header",{{"Art", type text}, {"Unterart", type text}, {"Wert", type number}, {"Datum", type date}}),
    #"Hinzugefügte benutzerdefinierte Spalte" = Table.AddColumn(#"Geänderter Typ", "Artgruppe", each Text.Replace(Text.Replace(Text.Replace([Art],"_Bud",""),"_For",""),"_Act","")),
    #"Hinzugefügte benutzerdefinierte Spalte1" = Table.AddColumn(#"Hinzugefügte benutzerdefinierte Spalte", "Art_Ansicht_Jahr", each if Date.IsInPreviousYear([Datum]) and Text.Contains([Art],"_Act") then "Previous Year" else if Date.IsInCurrentYear([Datum]) and Text.Contains([Art],"_Act") then "Actual" else if Date.IsInCurrentYear([Datum]) and Text.Contains([Art],"_Bud") then "Budget" else if Date.IsInCurrentYear([Datum]) and Text.Contains([Art],"_For") then "Forecast" else "Not in Report"),
    #"Hinzugefügte benutzerdefinierte Spalte2" = Table.AddColumn(#"Hinzugefügte benutzerdefinierte Spalte1", "Art_Ansicht_Kategorie", 	
    each if [Unterart] = "Gesell1" then "GmbH"
	else [Unterart])
in
    #"Hinzugefügte benutzerdefinierte Spalte2";
